Branch,Refined Hub
M46-VASAI BRANCH,M10-MUMBAI SAKINAKA APEX
E02-TIRUPUR BRANCH,E01-COIMBATORE APEX
J15-KARNAL BRANCH,J10-AMBALA APEX
E57-TIRUPUR SCS BRANCH,E01-COIMBATORE APEX
W15-PURI SORTING OFFICE,W53-BHUBANESWAR AIR APEX
J50-YAMUNA NAGAR BRANCH,J10-AMBALA APEX
U79-JAUNPUR SORTING OFFICE,U04-VARANASI APEX
O93-CHALAKUDY BRANCH,O06-COCHIN APEX
U14-MORADABAD BRANCH,U11-GHAZIABAD APEX
E03-ERODE BRANCH,E04-SALEM APEX
I40-UJJAIN SORTING OFFICE,I01-INDORE APEX
B61-NERALURU BRANCH,B10-BANGALORE YELAHANKA APEX
X29-NALBARI BRANCH,X01-DHARAPUR APEX
M63-WADKAL BRANCH,M10-MUMBAI SAKINAKA APEX
M39-PANVEL BRANCH,M10-MUMBAI SAKINAKA APEX
O01-ALLEPPEY BRANCH,O06-COCHIN APEX
K132-MOYNAGURI HELIX SORTING OFFICE,K66-SILIGURI-MATIGARA APEX
U145-BULANDSHAHR BRANCH,U11-GHAZIABAD APEX
A07-ANKLESHWAR BRANCH,A04-SURAT APEX
T38-CHAPRA SORTING OFFICE,T01-PATNA APEX
J39-SOLAN BRANCH,J29-PANCHKULA APEX
U20-SAHARANPUR BRANCH,J10-AMBALA APEX
J04-PANIPAT BRANCH,N05-DELHI SAMALKHA APEX
J25-ROHTAK BRANCH,N05-DELHI SAMALKHA APEX
J19-NANGAL BRANCH,J29-PANCHKULA APEX
E05-KARUR BRANCH,E04-SALEM APEX
B118-BLR LOCAL APEX,B10-BANGALORE YELAHANKA APEX
C57-CHENGALPET BRANCH,C42-GUINDY APEX
U144-RAEBARELI BRANCH,U43-LUCKNOW APEX
A18-MEHSANA BRANCH,A01-AHMEDABAD APEX
U22-ROORKEE BRANCH,J10-AMBALA APEX
X26-SIVASAGAR BRANCH,X21-DIBRUGARH APEX
U15-BAREILLY BRANCH,U11-GHAZIABAD APEX
V11-VIZIANAGARAM BRANCH,V02-VISHAKAPATNAM APEX
U141-KANNUAJ BRANCH,U43-LUCKNOW APEX
O07-KOTTAYAM BRANCH,O06-COCHIN APEX
B43-TUMKUR SORTING OFFICE,B10-BANGALORE YELAHANKA APEX
C60-SRI CITY BRANCH,C42-GUINDY APEX
K29-DIAMOND HARBOR SORTING OFFICE,K16-KOLKATA RAJARHAT APEX
U19-MUZAFFARNAGAR BRANCH,U11-GHAZIABAD APEX
T88-MOHANIA BRANCH,U04-VARANASI APEX
T05-MUZAFFARPUR BRANCH,T01-PATNA APEX
B95-MANDYA NODAL POINT,B10-BANGALORE YELAHANKA APEX
Q18-BEHROR SORTING OFFICE,N05-DELHI SAMALKHA APEX
J03-LUDHIANA BRANCH,J29-PANCHKULA APEX
J53-LUDHIANA ATAM PARK BRANCH,J29-PANCHKULA APEX
A51-DAHEJ SORTING OFFICE,A04-SURAT APEX
C59-KANCHEEPURAM BRANCH,C42-GUINDY APEX
H42-MAHABUBNAGAR SUPER FRANCHISEE,H13-HYDERABAD SHAMSHABAD APEX
T07-GAYA BRANCH,T01-PATNA APEX
U31-BIJNORE BRANCH,U11-GHAZIABAD APEX
W05-JAJPUR ROAD BRANCH,W53-BHUBANESWAR AIR APEX
U83-AURAIYA NODAL POINT,U43-LUCKNOW APEX
O04-TRICHUR BRANCH,O06-COCHIN APEX
P13-SATARA SUPER FRANCHISEE,P01-PUNE APEX
P32-KARAD SORTING OFFICE,P01-PUNE APEX
U133-AZAMGARH BRANCH,U04-VARANASI APEX
O17-CHANGANACHERRY NODAL POINT,O06-COCHIN APEX
T34-HAZARIBAGH SUB BRANCH,T02-RANCHI APEX
E16-KRISHNAGIRI BRANCH,B10-BANGALORE YELAHANKA APEX
K89-HALDIA BRANCH,K16-KOLKATA RAJARHAT APEX
Q07-ALWAR BRANCH,N05-DELHI SAMALKHA APEX
Q44-NEEMRANA BRANCH,N05-DELHI SAMALKHA APEX
Q16-SIKAR BRANCH,Q05-JAIPUR APEX
A05-VAPI BRANCH,A04-SURAT APEX
R07-BILASPUR BRANCH,T02-RANCHI APEX
U110-ORAI NODAL POINT,U43-LUCKNOW APEX
J17-PHAGWARA BRANCH,J10-AMBALA APEX
J20-BILASPUR SUPER FRANCHISEE,J29-PANCHKULA APEX
P25-BARAMATI MASTER FRANCHISEE,P01-PUNE APEX
K54-FULIA BRANCH,K16-KOLKATA RAJARHAT APEX
O11-THIRUVALLA BRANCH,O06-COCHIN APEX
K45-BURDWAN BRANCH,K16-KOLKATA RAJARHAT APEX
U16-ALIGARH BRANCH,U11-GHAZIABAD APEX
K40-KHARAGPUR BRANCH,K16-KOLKATA RAJARHAT APEX
K114-KALINGPONG HELIX SORTING OFFICE,K66-SILIGURI-MATIGARA APEX
M57-BOISAR BRANCH,M10-MUMBAI SAKINAKA APEX
X06-SHILLONG SORTING OFFICE,X01-DHARAPUR APEX
K84-DARJEELING BRANCH,K66-SILIGURI-MATIGARA APEX
R13-YAVATMAL SUPER FRANCHISEE,R01-NAGPUR AIR APEX
V10-ONGOLE BRANCH,V06-VIJAYAWADA APEX
U26-AYODHYA BRANCH,U43-LUCKNOW APEX
K82-RANGPO SUB BRANCH,K66-SILIGURI-MATIGARA APEX
W14-BHADRAK SORTING OFFICE,W53-BHUBANESWAR AIR APEX
T42-BEGUSARAI SORTING OFFICE,T01-PATNA APEX
Q09-AJMER BRANCH,Q05-JAIPUR APEX
V12-SRIKAKULAM BRANCH,V02-VISHAKAPATNAM APEX
W44-PARADEEP NODAL POINT,W53-BHUBANESWAR AIR APEX
U02-PRAYAGRAJ BRANCH,U04-VARANASI APEX
H91-KHAMMAM BRANCH,V06-VIJAYAWADA APEX
I11-CHHINDWARA SORTING OFFICE,R01-NAGPUR AIR APEX
T03-JAMSHEDPUR BRANCH,T02-RANCHI APEX
U78-SULTANPUR BRANCH,U43-LUCKNOW APEX
U95-HARDOI NODAL POINT,U43-LUCKNOW APEX
A45-SURENDRANAGAR BRANCH,A01-AHMEDABAD APEX
U45-GONDA BRANCH,U43-LUCKNOW APEX
T85-SAMASTIPUR SORTING OFFICE,T01-PATNA APEX
J02-JALANDHAR BRANCH,J10-AMBALA APEX
U140-LAKHIMPUR MINI BRANCH,U43-LUCKNOW APEX
B02-MYSORE BRANCH,B10-BANGALORE YELAHANKA APEX
X28-NORTH LAKHIMPUR BRANCH,X21-DIBRUGARH APEX
U07-GWALIOR BRANCH,U43-LUCKNOW APEX
H92-SURYAPET BRANCH,H13-HYDERABAD SHAMSHABAD APEX
P74-YEOLA SUPER FRANCHISEE,M10-MUMBAI SAKINAKA APEX
J14-SHIMLA BRANCH,J29-PANCHKULA APEX
V57-BHIMAVARAM SUB BRANCH,V06-VIJAYAWADA APEX
P19-NASIK BRANCH,M10-MUMBAI SAKINAKA APEX
K03-KRISHNANAGAR BRANCH,K16-KOLKATA RAJARHAT APEX
I07-RATLAM SORTING OFFICE,I01-INDORE APEX
I39-BETUL BRANCH,R01-NAGPUR AIR APEX
P08-AHMEDNAGAR SUPER FRANCHISEE,P01-PUNE APEX
V05-RAJAHMUNDRY BRANCH,V06-VIJAYAWADA APEX
E06-TRICHY BRANCH,E04-SALEM APEX
T09-BOKARO BRANCH,T02-RANCHI APEX
V21-MADANAPALLI SORTING OFFICE,B10-BANGALORE YELAHANKA APEX
B62-BIDAR SORTING OFFICE,H13-HYDERABAD SHAMSHABAD APEX
W09-ANGUL BRANCH,W53-BHUBANESWAR AIR APEX
R02-CHANDRAPUR SUPER FRANCHISE,R01-NAGPUR AIR APEX
J48-MOGA BRANCH,J29-PANCHKULA APEX
V15-KAKINADA SUB BRANCH,V02-VISHAKAPATNAM APEX
O03-PALGHAT BRANCH,O06-COCHIN APEX
E07-DINDIGUL BRANCH,E01-COIMBATORE APEX
U77-SHAHJAHANPUR SUPER FRANCHISEE,U43-LUCKNOW APEX
W04-BERHAMPUR BRANCH,W53-BHUBANESWAR AIR APEX
W54-KHALLIKOTE BRANCH,W53-BHUBANESWAR AIR APEX
C08-KATPADI BRANCH,C42-GUINDY APEX
K79-COOCHBEHAR BRANCH,K66-SILIGURI-MATIGARA APEX
B18-HASSAN BRANCH,B10-BANGALORE YELAHANKA APEX
J07-HISSAR BRANCH,N05-DELHI SAMALKHA APEX
P28-TEMBHURNI SORTING OFFICE,P01-PUNE APEX
X05-TEZPUR BRANCH,X01-DHARAPUR APEX
C02-PONDICHERRY BRANCH,C42-GUINDY APEX
X32-DIMAPUR BRANCH,X21-DIBRUGARH APEX
X15-JORHAT SORTING OFFICE,X21-DIBRUGARH APEX
C22-VILLUPURAM BRANCH,C42-GUINDY APEX
K27-PURULIA SUB BRANCH,T02-RANCHI APEX
T39-GOPALGUNJ SORTING OFFICE,T01-PATNA APEX
O21-ADIMALY BRANCH,O06-COCHIN APEX
K14-DURGAPUR BRANCH,K16-KOLKATA RAJARHAT APEX
K136-ANDAL AIR APEX,K16-KOLKATA RAJARHAT APEX
T36-MOTIHARI BRANCH,T01-PATNA APEX
X41-KOLIABOR SORTING OFFICE,X01-DHARAPUR APEX
J08-BHATINDA BRANCH,J10-AMBALA APEX
T26-DARBHANGA SORTING OFFICE,T01-PATNA APEX
T18-JAMALPUR SUPER FRANCHISEE,T01-PATNA APEX
X34-BARPETA BRANCH,X01-DHARAPUR APEX
K51-GANGTOK BRANCH,K66-SILIGURI-MATIGARA APEX
X13-BONGAIGAON SORTING OFFICE,X01-DHARAPUR APEX
V09-NELLORE SUPER FRANCHISEE,C42-GUINDY APEX
X18-GOALPARA BRANCH,X01-DHARAPUR APEX
T13-PURNEA BRANCH,K66-SILIGURI-MATIGARA APEX
V01-TIRUPATI BRANCH,C42-GUINDY APEX
U44-RENUKOOT SUPER FRANCHISEE,U04-VARANASI APEX
V32-CHITTOOR NODAL POINT,C42-GUINDY APEX
V04-KURNOOL BRANCH,H13-HYDERABAD SHAMSHABAD APEX
K104-ALIPURDUAR BRANCH,K66-SILIGURI-MATIGARA APEX
I02-BHOPAL BRANCH,I01-INDORE APEX
I43-BHOPAL CITY BRANCH,I01-INDORE APEX
I10-BHOPAL T/S APEX,I01-INDORE APEX
X30-DHARMANAGAR BRANCH,X03-AGARTALA APEX
W06-BALASORE BRANCH,W53-BHUBANESWAR AIR APEX
A03-RAJKOT BRANCH,A01-AHMEDABAD APEX
U142-BASTI BRANCH,U43-LUCKNOW APEX
K119-PUNJABI MORE BRANCH,K16-KOLKATA RAJARHAT APEX
V24-HINDUPUR BRANCH,B10-BANGALORE YELAHANKA APEX
V07-ANANTHPUR SUPER FRANCHISEE,B10-BANGALORE YELAHANKA APEX
R04-AKOLA BRANCH,R01-NAGPUR AIR APEX
T04-DHANBAD BRANCH,T02-RANCHI APEX
J05-AMRITSAR BRANCH,J10-AMBALA APEX
O08-QUILON BRANCH,O06-COCHIN APEX
E23-THANJAVUR BRANCH,E04-SALEM APEX
B13-CHITRADURGA SORTING OFFICE,B10-BANGALORE YELAHANKA APEX
T16-KATIHAR SORTING OFFICE,K66-SILIGURI-MATIGARA APEX
Q12-BHILWARA SORTING OFFICE,Q05-JAIPUR APEX
P71-SHIRDI-NODAL POINT,P01-PUNE APEX
O12-KOTTAKAL BRANCH,O06-COCHIN APEX
K22-ASANSOL BRANCH,K16-KOLKATA RAJARHAT APEX
J36-SIRSA BRANCH,J10-AMBALA APEX
U24-JHANSI BRANCH,U43-LUCKNOW APEX
W03-ROURKELA BRANCH,T02-RANCHI APEX
I41-MANDIDEEP SERVICE CENTER,I01-INDORE APEX
E08-MADURAI APEX,E01-COIMBATORE APEX
B63-RAICHUR SORTING OFFICE,H13-HYDERABAD SHAMSHABAD APEX
P29-PANDHARPUR SORTING OFFICE,P01-PUNE APEX
I16-MANDSAUR SORTING OFFICE,I01-INDORE APEX
K63-BANKURA SUPER FRANCHISE,K16-KOLKATA RAJARHAT APEX
X27-GOLAGHAT BRANCH,X21-DIBRUGARH APEX
I19-REWA BRANCH,U04-VARANASI APEX
R10-KORBA BRANCH,T02-RANCHI APEX
X25-ITANAGAR BRANCH,X21-DIBRUGARH APEX
U06-GORAKHPUR BRANCH,U04-VARANASI APEX
J11-PATHANKOT BRANCH,J10-AMBALA APEX
Q04-UDAIPUR BRANCH,A01-AHMEDABAD APEX
X40-UDAIPUR SORTING OFFICE,A01-AHMEDABAD APEX
B64-CHIKMAGALUR BRANCH,B10-BANGALORE YELAHANKA APEX
B64-CHI AGALUR BRANCH,B10-BANGALORE YELAHANKA APEX
Q03-KOTA SUPER FRANCHISEE,Q05-JAIPUR APEX
P11-KOLHAPUR BRANCH,P01-PUNE APEX
P38-DHULE BRANCH,A04-SURAT APEX
B05-GULBARGA SUPER FRANCHISEE,H13-HYDERABAD SHAMSHABAD APEX
I30-SHAHDOL NODAL POINT,R01-NAGPUR AIR APEX
I08-JABALPUR BRANCH,R01-NAGPUR AIR APEX
K23-MALDA BRANCH,K66-SILIGURI-MATIGARA APEX
P10-SANGLI SUPER FRANCHISEE,P01-PUNE APEX
B50-DAVANGERE BRANCH,B10-BANGALORE YELAHANKA APEX
P21-CHIPLUN BRANCH,P01-PUNE APEX
P62-ICHALKARANJI SORTING OFFICE,P01-PUNE APEX
P06-SOLAPUR BRANCH,P01-PUNE APEX
R19-RAIGARH BRANCH,T02-RANCHI APEX
V22-NANDYAL SUB BRANCH,H13-HYDERABAD SHAMSHABAD APEX
T15-SAHARSA SORTING OFFICE,T01-PATNA APEX
E24-THENI BRANCH,O06-COCHIN APEX
Q10-PALI BRANCH,Q05-JAIPUR APEX
W07-SAMBALPUR BRANCH,W53-BHUBANESWAR AIR APEX
P56-WALUJ BRANCH,P01-PUNE APEX
P09-AURANGABAD BRANCH,P01-PUNE APEX
O05-TRIVANDRUM BRANCH,O06-COCHIN APEX
O90-ATTINGAL BRANCH,O06-COCHIN APEX
W23-BOLANGIR SORTING OFFICE,W53-BHUBANESWAR AIR APEX
E20-SIVAKASI BRANCH,E01-COIMBATORE APEX
P17-NANDED SUPER FRANCHISEE,H13-HYDERABAD SHAMSHABAD APEX
O02-CALICUT BRANCH,O06-COCHIN APEX
P61-JALNA SORTING OFFICE,M10-MUMBAI SAKINAKA APEX
V13-CUDDAPAH SUPER FRANCHISEE,B10-BANGALORE YELAHANKA APEX
W22-JEYPORE SORTING OFFICE,V02-VISHAKAPATNAM APEX
I29-NEEMUCH NODAL POINT,I01-INDORE APEX
W08-RAYAGADA SUB BRANCH,V02-VISHAKAPATNAM APEX
T06-BHAGALPUR BRANCH,T01-PATNA APEX
A33-JAMNAGAR BRANCH,A01-AHMEDABAD APEX
P72-BEED BRANCH,H13-HYDERABAD SHAMSHABAD APEX
P16-LATUR BRANCH,H13-HYDERABAD SHAMSHABAD APEX
Q13-SRIGANGANAGAR BRANCH,J10-AMBALA APEX
Q02-JODHPUR BRANCH,Q05-JAIPUR APEX
I44-SATNA SORTING OFFICE,U04-VARANASI APEX
O25-KALPETTA BRANCH,E01-COIMBATORE APEX
B47-BELLARY SORTING OFFICE,B10-BANGALORE YELAHANKA APEX
Q14-BIKANER BRANCH,Q05-JAIPUR APEX
B38-SHIMOGA SORTING OFFICE,B10-BANGALORE YELAHANKA APEX
R29-AMBIKAPUR NODAL POINT,T02-RANCHI APEX
K85-BOLPUR BRANCH,K16-KOLKATA RAJARHAT APEX
W12-JHARSUGUDA BRANCH,T02-RANCHI APEX
B19-HOSPET SUPER FRANCHISEE,B10-BANGALORE YELAHANKA APEX
A27-BHAVNAGAR SORTING OFFICE,A04-SURAT APEX
A47-BHUJ SUPER FRANCHISEE,A01-AHMEDABAD APEX
O89-THALASSERY BRANCH,E01-COIMBATORE APEX
B42-BIJAPUR SORTING OFFICE,P01-PUNE APEX
P20-JALGAON SUPER FRANCHISEE,I01-INDORE APEX
T86-DUMKA BRANCH,K16-KOLKATA RAJARHAT APEX
I45-KATNI SORTING OFFICE,U04-VARANASI APEX
P60-RATNAGIRI BRANCH,P01-PUNE APEX
P58-PARBHANI BRANCH,H13-HYDERABAD SHAMSHABAD APEX
I34-SAGAR BRANCH,I01-INDORE APEX
T87-GODDA BRANCH,T01-PATNA APEX
O09-CANNANORE BRANCH,E01-COIMBATORE APEX
E11-NAGERCOILBRANCH,O06-COCHIN APEX
B16-BELGAUM SUPER FRANCHISEE,P01-PUNE APEX
N37-JAMMU BRANCH,J10-AMBALA APEX
B03-HUBLI BRANCH,B10-BANGALORE YELAHANKA APEX
E09-TIRUNELVELI BRANCH,O06-COCHIN APEX
X02-SILCHAR SORTING OFFICE,X03-AGARTALA APEX
X19-NAGAON BRANCH,K66-SILIGURI-MATIGARA APEX
X38-LANKA SORTING OFFICE,K66-SILIGURI-MATIGARA APEX
X33-JAGIROAD BRANCH,K66-SILIGURI-MATIGARA APEX
B01-MANGALORE SUPER FRANCHISEE,B10-BANGALORE YELAHANKA APEX
B39-SIRSI BRANCH OFFICE,B10-BANGALORE YELAHANKA APEX
R28-KHAMGAON SORTING OFFICE,I01-INDORE APEX
O60-KANHANGAD BRANCH,B10-BANGALORE YELAHANKA APEX
A16-KUTCH DDLP SUPER FRANCHISE,A01-AHMEDABAD APEX
E10-TUTICORIN BRANCH,O06-COCHIN APEX
P26-KANKAVALI BRANCH,P01-PUNE APEX
B53-UDUPI NODAL POINT,B10-BANGALORE YELAHANKA APEX
B32-GOA PANJIM BRANCH,P01-PUNE APEX
B41-BAGALKOT SORTING OFFICE,H13-HYDERABAD SHAMSHABAD APEX
B65-VERNA BRANCH,P01-PUNE APEX
B51-MARGAO BRANCH,P01-PUNE APEX
X07-AIZAWLSORTING OFFICE,X03-AGARTALA APEX
N38-SRI NAGAR BRANCH,J10-AMBALA APEX
X12-IMPHAL SORTING OFFICE,X21-DIBRUGARH APEX
S04-OKHLA BRANCH,N05-DELHI SAMALKHA APEX
S13-OKHLA APEX,N05-DELHI SAMALKHA APEX
S17-ASHRAM BRANCH,U11-GHAZIABAD APEX
S01-KHIRKI BRANCH,N05-DELHI SAMALKHA APEX
S26-CHATTARPUR BRANCH,N05-DELHI SAMALKHA APEX
S25-SOUTH DELHI DP PROCESSING CENTER APEX,N05-DELHI SAMALKHA APEX
S03-MAHIPALPUR BRANCH,N05-DELHI SAMALKHA APEX
S09-DWARKA BRANCH,N05-DELHI SAMALKHA APEX
H96-SHAMSHABAD BRANCH,H13-HYDERABAD SHAMSHABAD APEX
H17-WARANGAL SUPER FRANCHISEE,H13-HYDERABAD SHAMSHABAD APEX
H37-KARIMNAGAR SUPER FRANCHISEE,H13-HYDERABAD SHAMSHABAD APEX
H53-NIZAMABAD SUPER FRANCHISEE,H13-HYDERABAD SHAMSHABAD APEX
H98-MANCHERIAL SUPER FRANCHISEE,H13-HYDERABAD SHAMSHABAD APEX