,Hub Name,Latitude,Longitude
0,A01-AHMEDABAD APEX,23.106556,72.683222
1,A04-SURAT APEX,21.175874,72.955277
2,B10-BANGALORE YELAHANKA APEX,13.1066,77.6187
3,C42-GUINDY APEX,13.05947836,80.13138739
4,E01-COIMBATORE APEX,11.017391,76.98321
5,E04-SALEM APEX,11.6476208,78.1225439
6,E08-MADURAI APEX,9.9160699,78.0999871
7,H13-HYDERABAD SHAMSHABAD APEX,17.25955818,78.37652436
8,I01-INDORE APEX,22.746654,75.892436
9,J10-AMBALA APEX,30.403561,76.787836
10,J29-PANCHKULA APEX,30.667815,76.837394
11,K16-KOLKATA RAJARHAT APEX,22.62824545,88.44588786
12,K66-SILIGURI-MATIGARA APEX,26.74426398,88.3537118
13,M10-MUMBAI SAKINAKA APEX,19.102839,72.882515
14,N05-DELHI SAMALKHA APEX,28.53231663,77.09848338
15,O06-COCHIN APEX,10.06337,76.28998
16,P01-PUNE APEX,18.628523,73.873561
17,Q05-JAIPUR APEX,26.88274,75.740257
18,R01-NAGPUR APEX,21.143067,79.007626
19,T01-PATNA APEX,25.5762215,85.2358959
20,T02-RANCHI APEX,23.35235,85.377875
21,U04-VARANASI APEX,25.248513,82.927774
22,U11-GHAZIABAD APEX,28.68924002,77.43653512
23,U43-LUCKNOW APEX,26.722948,80.902664
24,V02-VISHAKAPATNAM APEX,17.73699,83.26624
25,V06-VIJAYAWADA APEX,16.5479875,80.6892874
26,W53-BHUBANESWAR AIR APEX,20.302516,85.85346
27,X01-DHARAPUR APEX,26.13382,91.62004
28,X21-DIBRUGARH APEX,27.48061152,94.90665145
29,X03-AGARTALA APEX,23.83510848,91.27031132